date,features,strategy_idx,pnl,period_name,period_type,taleb_tail_exponent,taleb_expected_shortfall_95,taleb_expected_shortfall_99,taleb_es_pareto_95,taleb_es_pareto_99,taleb_fragility_score,taleb_excess_kurtosis,taleb_convexity_bias,taleb_tail_risk_ratio
2020-02-10,"[15.039999961853027, 0.032580599188804626, 0.027539974078536034, 0.13640864193439484, -0.8213971853256226, -0.16304950416088104, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",6,0.0059416778910911456,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-11,"[15.180000305175781, 0.01884165033698082, 0.022290095686912537, 0.13487982749938965, -0.802295982837677, -0.05420554429292679, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,0.009370851914877465,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-12,"[13.739999771118164, 0.013699501752853394, 0.030447423458099365, 0.13575631380081177, -0.8049246668815613, -0.09306930005550385, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,0.0023382087012469906,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-13,"[14.149999618530273, 0.00922184344381094, 0.027027029544115067, 0.1360342800617218, -0.8163367509841919, -0.05414441227912903, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,-0.00170925672412161,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-14,"[13.680000305175781, 0.01625525951385498, 0.02018638141453266, 0.133550226688385, -0.8096757531166077, -0.11570781469345093, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",4,-0.03005664423119988,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-18,"[14.829999923706055, 0.006125148385763168, 0.014399852603673935, 0.13390201330184937, -0.8338850736618042, -0.013962768949568272, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,-0.042486138619531454,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-19,"[14.380000114440918, 0.009186535142362118, 0.02124936878681183, 0.13423141837120056, -0.8422146439552307, -0.05270093306899071, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",3,-0.04904320133968138,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-20,"[15.5600004196167, -0.0013929643901064992, 0.01693120412528515, 0.13546840846538544, -0.8453662395477295, 0.13246001303195953, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,-0.07890688426135667,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-21,"[17.079999923706055, -0.010621086694300175, 0.005305741913616657, 0.14113633334636688, -0.8599544167518616, 0.20706716179847717, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",7,-0.0714309278623633,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
2020-02-24,"[25.030000686645508, -0.04496447741985321, -0.019314177334308624, 0.1823817938566208, -0.8303216695785522, 0.8296783566474915, 0.5, 0.5, 0.30000001192092896, 0.699999988079071]",1,-0.008715827297223002,Low Vol Bull,normal,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
